meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,age,gender
0.166779913,0.056866464,0.192477764,0.106734435,0.210266836,0.103532402,3.480152853,16.6104308,0.870906049,0.37505408,0.106022872,0.166779913,0.121855149,0.046966732,0.272727273,0.779153963,0,5.625,5.625,0.144097222,twenties,male
0.148331853,0.061608645,0.124,0.098,0.2005,0.1025,2.188384068,9.027341495,0.918673207,0.528100751,0.0975,0.148331853,0.111875458,0.047244094,0.258064516,0.225413603,0.09375,0.8671875,0.7734375,0.210284665,twenties,male
0.176877279,0.062544193,0.183718104,0.120777643,0.229307412,0.108529769,1.355849226,5.097104986,0.935741543,0.532242472,0.181336574,0.176877279,0.118345483,0.047337278,0.269662921,0.913105867,0,6.5859375,6.5859375,0.128610444,twenties,male
0.158345415,0.067117372,0.170998553,0.096439942,0.198552822,0.10211288,2.063346974,7.777394947,0.930237978,0.564822791,0.096845152,0.158345415,0.107561532,0.04743083,0.271186441,0.798549107,0,6,6,0.144205729,twenties,male
0.216374153,0.045301204,0.227044917,0.209834515,0.238959811,0.029125296,3.910634561,22.75378052,0.840472952,0.305494025,0.227044917,0.216374153,0.186984213,0.054919908,0.269662921,0.40234375,0.2109375,0.7265625,0.515625,0.278409091,twenties,female
0.196133525,0.042748573,0.199369628,0.177707736,0.220429799,0.042722063,2.175288269,7.896727327,0.893815696,0.363309873,0.179713467,0.196133525,0.152645308,0.043620178,0.277358491,1.044360352,0,9.173144531,9.173144531,0.077308294,twenties,female
0.237404597,0.037937969,0.24286385,0.22084507,0.266197183,0.045352113,2.202675275,8.235205621,0.835801828,0.18618534,0.272112676,0.237404597,0.175357726,0.043577075,0.272222222,0.637382813,0,2.75625,2.75625,0.115767045,teens,female
0.209022421,0.047591255,0.21212766,0.182978723,0.244042553,0.06106383,1.377736679,4.481333647,0.91071135,0.331669617,0.239787234,0.209022421,0.152880953,0.043620178,0.275625,0.730693359,0,7.967285156,7.967285156,0.091109531,fifties,female
